,Unnamed: 0,Áö¿ªÄÚµå,¹ýÁ¤µ¿,°Å·¡ÀÏ,¾ÆÆÄÆ®,Áö¹ø,Àü¿ë¸éÀû,Ãþ,°ÇÃà³âµµ,°Å·¡±Ý¾×,¸éÀû´ç°¡°Ý,°Å·¡ÁÖ,count
52895,52895,11530,°íÃ´µ¿,2019-06-14,Ã»±¸,326,59.94,18,1999,36800,613.9472806139473,701,1
52927,52927,11530,±¸·Îµ¿,2019-06-09,»õ¼Ö±ÝÈ£,108-2,84.89,11,1996,44000,518.3178230651431,701,1
52928,52928,11530,±¸·Îµ¿,2019-06-10,Çö´ë¿¬¿¹ÀÎ,685-70,84.91,14,1989,45000,529.9729124955836,701,1
52929,52929,11530,±¸·Îµ¿,2019-06-10,¼ø¿µÀ£¶óÀÌºô2Â÷,Feb-97,64.45,23,2005,36300,563.2273079906904,701,1
52930,52930,11530,±¸·Îµ¿,2019-06-10,½Åµµ¸²ÅÂ¿µÅ¸¿î,1267,59.88,16,2000,63000,1052.1042084168337,701,1
52931,52931,11530,±¸·Îµ¿,2019-06-10,ÇÑ½ÅÈÞÇÃ·¯½º(1280-1),1280-1,58.03,8,2007,54000,930.5531621575047,701,1
52932,52932,11530,±¸·Îµ¿,2019-06-10,½Å¼º¹Ì¼ÒÁö¿ò,1274,71.04,6,2003,45000,633.4459459459459,701,1
52933,52933,11530,±¸·Îµ¿,2019-06-11,ÇÑ½ÅÈÞÇÃ·¯½º(1280-0),1280,50.17,3,2007,45400,904.9232609128961,701,1
52934,52934,11530,±¸·Îµ¿,2019-06-11,ºñÁîÆ®À§Æ® ·¹µå,104-8,20.75,6,2016,18500,891.566265060241,701,1
52935,52935,11530,±¸·Îµ¿,2019-06-11,Çö´ë»ó¼±,685-147,79.98,6,1987,48100,601.4003500875218,701,1
52936,52936,11530,±¸·Îµ¿,2019-06-12,½Å±¸·ÎÀÚÀÌ,501,84.98,11,2007,54500,641.327371146152,701,1
52937,52937,11530,±¸·Îµ¿,2019-06-12,ÁÖ°ø2,685-223,41.3,6,1987,41700,1009.6852300242132,701,1
52938,52938,11530,±¸·Îµ¿,2019-06-13,½Åµµ¸²ÅÂ¿µÅ¸¿î,1267,59.88,23,2000,61500,1027.0541082164327,701,1
52939,52939,11530,±¸·Îµ¿,2019-06-13,(798-22),798-22,44.84,3,1996,17500,390.2765388046387,701,1
52940,52940,11530,±¸·Îµ¿,2019-06-13,´ºÈ«Çö¼Ö·¹µð¿ò,1270,84.69,6,2002,42900,506.55331207934825,701,1
52941,52941,11530,±¸·Îµ¿,2019-06-14,½Å±¸·ÎÀÚÀÌ,501,84.91,10,2007,55000,647.7446708279355,701,1
52942,52942,11530,±¸·Îµ¿,2019-06-14,±¸·ÎµÎ»ê,1265,51.84,6,1998,36000,694.4444444444443,701,1
52943,52943,11530,±¸·Îµ¿,2019-06-14,ÁÖ°ø2,685-223,49.94,7,1987,49000,981.1774128954746,701,1
52944,52944,11530,±¸·Îµ¿,2019-06-14,±Øµ¿,314,91.01,2,1984,40000,439.51214152290953,701,1
52945,52945,11530,±¸·Îµ¿,2019-06-14,±¸·Î¾ÆÆ®ºô¶ó3µ¿,806-9,59.94,2,1997,20000,333.66700033366703,701,1
52946,52946,11530,±¸·Îµ¿,2019-06-15,±¸·ÎµÎ»ê,1265,44.64,7,1998,30300,678.763440860215,701,1
52947,52947,11530,±¸·Îµ¿,2019-06-15,±¸·ÎµÎ»êÀ§ºê,1278,36.88,11,2006,34000,921.9088937093275,701,1
53007,53007,11530,±Ãµ¿,2019-06-12,´ë¸íÇÏÀÌºô101µ¿,184-20,67.78,1,2009,30700,452.9359693124816,701,1
53015,53015,11530,½Åµµ¸²µ¿,2019-06-10,´ë¸²1,642,59.88,25,1999,59500,993.6539746158984,701,1
53016,53016,11530,½Åµµ¸²µ¿,2019-06-10,µ¿¾Æ1,643,169.199,6,1999,91000,537.8282377555422,701,1
53017,53017,11530,½Åµµ¸²µ¿,2019-06-10,´ë¸²e-ÆíÇÑ¼¼»ó4,646,84.78,13,2003,103700,1223.1658410002358,701,1
53018,53018,11530,½Åµµ¸²µ¿,2019-06-11,´ë¸²1,642,84.95,20,1999,70000,824.0141259564449,701,1
53019,53019,11530,½Åµµ¸²µ¿,2019-06-11,¿ì¼º2,639,84.82,10,1996,72500,854.751237915586,701,1
53020,53020,11530,½Åµµ¸²µ¿,2019-06-14,´ë¸²1,642,84.95,17,1999,68000,800.4708652148322,701,1
53046,53046,11530,¿À·ùµ¿,2019-06-10,»ïÃµ¸®,340,84.75,16,1998,43000,507.3746312684366,701,1
53047,53047,11530,¿À·ùµ¿,2019-06-10,¿ì¸²ÇÊÀ¯,348,84.99,13,2005,46500,547.1231909636429,701,1
53048,53048,11530,¿À·ùµ¿,2019-06-10,ÇÑ½ÅÇÃ·¯½ºÅ¸¿î,341,59.91,7,2002,36450,608.4126189283926,701,1
53049,53049,11530,¿À·ùµ¿,2019-06-11,¿µÇ³¸¶µå·¹ºô,342,84.741,2,2002,50200,592.3932925030387,701,1
53050,53050,11530,¿À·ùµ¿,2019-06-11,µ¿ºÎ°ñµç,338,113.43,17,1998,42000,370.27241470510444,701,1
53051,53051,11530,¿À·ùµ¿,2019-06-11,µ¿ºÎ°ñµç,338,84.96,5,1998,40000,470.8097928436912,701,1
53052,53052,11530,¿À·ùµ¿,2019-06-13,µ¿ºÎ°ñµç,338,71.06,3,1998,34900,491.1342527441598,701,1
53053,53053,11530,¿À·ùµ¿,2019-06-14,¿µÇ³¸¶µå·¹ºô,342,59.818999999999996,23,2002,38700,646.9516374396095,701,1
53054,53054,11530,¿À·ùµ¿,2019-06-15,¿µÇ³¸¶µå·¹ºô,342,59.818999999999996,20,2002,44800,748.9259265450777,701,1
53055,53055,11530,¿À·ùµ¿,2019-06-15,¿À·ùµ¿±ÝÈ£¾î¿ï¸²,347,59.87,8,2006,38350,640.5545348254552,701,1
